Connecting to unreal.db...
Starting backfill with workers=1 (single-process to avoid OOM)...
  backfill starting: 84,696 files, workers=1, provider=unreal
  bracket scan: 73500/84696 (87%) 408 files/s ETA 27s
  bracket scan: 74000/84696 (87%) 408 files/s ETA 26s
  bracket scan: 74500/84696 (88%) 409 files/s ETA 25s
  bracket scan: 75000/84696 (89%) 410 files/s ETA 24s
  bracket scan: 75500/84696 (89%) 411 files/s ETA 22s
  bracket scan: 76000/84696 (90%) 412 files/s ETA 21s
  bracket scan: 76500/84696 (90%) 413 files/s ETA 20s
  bracket scan: 77000/84696 (91%) 413 files/s ETA 19s
  bracket scan: 77500/84696 (92%) 414 files/s ETA 17s
  bracket scan: 78000/84696 (92%) 415 files/s ETA 16s
  bracket scan: 78500/84696 (93%) 416 files/s ETA 15s
  bracket scan: 79000/84696 (93%) 416 files/s ETA 14s
  bracket scan: 79500/84696 (94%) 418 files/s ETA 12s
  bracket scan: 80000/84696 (94%) 418 files/s ETA 11s
  bracket scan: 80500/84696 (95%) 418 files/s ETA 10s
  bracket scan: 81000/84696 (96%) 418 files/s ETA 9s
  bracket scan: 81500/84696 (96%) 419 files/s ETA 8s
  bracket scan: 82000/84696 (97%) 419 files/s ETA 6s
  bracket scan: 82500/84696 (97%) 420 files/s ETA 5s
  bracket scan: 83000/84696 (98%) 419 files/s ETA 4s
  bracket scan: 83500/84696 (99%) 419 files/s ETA 3s
  bracket scan: 84000/84696 (99%) 420 files/s ETA 2s
  bracket scan: 84500/84696 (100%) 422 files/s ETA 0s
  bracket scan: 84696/84696 (100%) 422 files/s ETA 0s
  bracket scan done: 84,696 files, 838,363 blocks in 200.6s
  bracket indexes built in 0.7s
  parent_id: computing for 81,903 files...
  parent_id done: 370,899 links in 4.7s
  extra_blocks: 215,838 non-brace blocks
  symbol_references: collecting trackable symbols...
    references: 823,151 raw symbols -> 524,409 unique names (692,734 defs after filter)
    references: 1000/81903 (1%) 340,684 refs, 1510 files/s ETA 54s
    references: 2000/81903 (2%) 1,523,882 refs, 716 files/s ETA 112s
    references: 3000/81903 (4%) 2,732,038 refs, 600 files/s ETA 132s
    references: 4000/81903 (5%) 4,813,765 refs, 445 files/s ETA 175s
    references: 5000/81903 (6%) 6,420,358 refs, 406 files/s ETA 189s
    references: 6000/81903 (7%) 7,431,261 refs, 417 files/s ETA 182s
    references: 7000/81903 (9%) 8,481,031 refs, 423 files/s ETA 177s
    references: 8000/81903 (10%) 9,918,540 refs, 409 files/s ETA 181s
    references: 9000/81903 (11%) 11,149,222 refs, 405 files/s ETA 180s
    references: 10000/81903 (12%) 13,303,804 refs, 370 files/s ETA 195s
    references: 11000/81903 (13%) 14,479,270 refs, 370 files/s ETA 192s
    references: 12000/81903 (15%) 16,543,115 refs, 346 files/s ETA 202s
    references: 13000/81903 (16%) 18,015,185 refs, 339 files/s ETA 203s
    references: 14000/81903 (17%) 19,282,075 refs, 339 files/s ETA 200s
    references: 15000/81903 (18%) 21,290,279 refs, 324 files/s ETA 207s
    references: 16000/81903 (20%) 22,686,059 refs, 323 files/s ETA 204s
